id,prompt,options,answer,topic
q1,Who is the Designated Safeguarding Lead (DSL) at United Teaching?,MR A Smith|;|Mr B Smith|;|MR C Smith,MR A Smith,Safeguarding
q2,Which system must staff use to record safeguarding concerns?,Email|;|CPOMS|;|Phone,CPOMS,Safeguarding
q3,"If a child is suffering, or likely to suffer, harm, what is the immediate action?",Wait until the next staff meeting|;|Make an immediate referral to DSL|;|Tell a colleague informally,Make an immediate referral to DSL,Referral
q4,"If the DSL/DDSL is unavailable, what should staff do?",Do nothing until they return|;|Speak to SLT and/or take advice from children's social care and then share with DSL ASAP|;|Contact Police,Speak to SLT and/or take advice from children's social care and then share with DSL ASAP,Procedure
q5,Teachers who discover FGM on a girl under 18 have a duty to:,Report to the Police personally|;|Tell the parent only|;|immediate referral to DSL,immediate referral to DSL,FGM
q6,How many continuous school days of unauthorised absence must be reported to the Local Authority?,3|;|5|;|10,10,Attendance
q7,"Under the Data Protection Act 2018, can safeguarding information be shared without consent?","Yes, where necessary to promote a child's welfare or safety|;|No, never|;|Only with parental permission","Yes, where necessary to promote a child's welfare or safety",Information sharing
q8,"If there is an immediate/significant risk of a child being drawn into terrorism, you should:",Email the Prevent team within a week|;|Call 999 and inform the DSL/DDSL|;|Wait for the next DSL surgery,Call 999 and inform the DSL/DDSL,Prevent
q9,Child-on-child abuse should be regarded as:,"Banter and part of growing up|;|Zero tolerance, never acceptable|;|Handled only by parents","Zero tolerance, never acceptable",Peer abuse
q10,"All concerns, discussions and decisions must be recorded with:","A clear summary, actions taken, decisions and outcomes|;|Only the student's name|;|No written record is needed","A clear summary, actions taken, decisions and outcomes",Records
q11,Which role may advise on allegations against staff and should be contacted within one working day?,Local Authority Designated Officer (LADO)|;|Chair of Governors only|;|Exam Officer,Local Authority Designated Officer (LADO),Allegations
q12,Safeguarding and promoting the welfare of children is whose responsibility?,Only the DSL|;|Everyone's|;|Only teachers,Everyone's,Principles
